yage,yjs,ymi        ,ypsh,ywith,ydfh,ytwy,yyatco,ywlb,yattr
32  ,2  ,0.274407583,17  ,9    ,1   ,10  ,10    ,3   ,0
35  ,1  ,0.173933649,14  ,8    ,1   ,16  ,15    ,3   ,0
45  ,1  ,0.644339126,14  ,0    ,6   ,17  ,0     ,4   ,0
37  ,3  ,0.66640337 ,13  ,2    ,7   ,16  ,5     ,4   ,0
46  ,2  ,0.211269089,22  ,2    ,5   ,16  ,4     ,3   ,0
30  ,4  ,0.216798315,12  ,0    ,1   ,10  ,10    ,2   ,0
35  ,3  ,0.097419695,18  ,4    ,1   ,6   ,6     ,3   ,0
55  ,4  ,0.486045287,14  ,0    ,1   ,24  ,1     ,3   ,0
34  ,2  ,0.17461822 ,15  ,3    ,1   ,5   ,5     ,3   ,0
56  ,4  ,0.329173249,11  ,2    ,7   ,37  ,6     ,2   ,0
23  ,1  ,0.069141654,13  ,0    ,2   ,3   ,0     ,3   ,0
51  ,4  ,0.056134808,23  ,3    ,9   ,10  ,4     ,3   ,0
30  ,4  ,0.165508162,19  ,8    ,2   ,11  ,11    ,3   ,0
46  ,4  ,0.453396524,16  ,7    ,9   ,9   ,9     ,3   ,1
40  ,2  ,0.657925224,22  ,11   ,1   ,22  ,22    ,2   ,0
51  ,4  ,0.233385993,22  ,0    ,21  ,11  ,10    ,1   ,0
46  ,1  ,0.508899421,13  ,5    ,1   ,21  ,10    ,2   ,0
32  ,3  ,0.210689837,16  ,7    ,6   ,12  ,11    ,3   ,0
28  ,3  ,0.169141654,15  ,4    ,4   ,5   ,5     ,4   ,0
58  ,3  ,0.677356503,13  ,8    ,10  ,38  ,37    ,2   ,0
44  ,2  ,0.054397051,12  ,2    ,23  ,17  ,3     ,4   ,0
37  ,1  ,0.056029489,22  ,2    ,6   ,7   ,3     ,3   ,1
32  ,1  ,0.102527646,13  ,0    ,1   ,1   ,1     ,3   ,0
37  ,4  ,0.218746709,14  ,0    ,2   ,17  ,1     ,4   ,0
25  ,3  ,0.249341759,11  ,3    ,5   ,6   ,6     ,3   ,1
25  ,4  ,0.098999473,11  ,1    ,7   ,2   ,2     ,3   ,0
34  ,3  ,0.266719326,24  ,6    ,7   ,9   ,9     ,3   ,1
24  ,3  ,0.092943655,12  ,2    ,18  ,6   ,5     ,3   ,0
37  ,4  ,0.338020011,12  ,3    ,3   ,12  ,5     ,3   ,0
43  ,4  ,0.839915745,12  ,12   ,26  ,25  ,25    ,4   ,0
30  ,3  ,0.084465508,25  ,9    ,23  ,10  ,10    ,2   ,0
33  ,2  ,0.270510795,13  ,7    ,22  ,8   ,7     ,4   ,0
51  ,3  ,0.975671406,13  ,15   ,6   ,23  ,20    ,3   ,0
31  ,3  ,0.271879937,18  ,7    ,6   ,12  ,7     ,2   ,1
19  ,3  ,0.03507109 ,19  ,0    ,22  ,0   ,0     ,2   ,1
22  ,4  ,0.079726172,14  ,1    ,2   ,3   ,2     ,3   ,0
41  ,3  ,0.378093734,13  ,7    ,9   ,12  ,9     ,3   ,0
36  ,2  ,0.207056345,20  ,1    ,6   ,7   ,3     ,3   ,0
51  ,4  ,0.507688257,15  ,3    ,8   ,18  ,4     ,3   ,1
25  ,3  ,0.401790416,18  ,2    ,28  ,6   ,2     ,3   ,0
30  ,4  ,0.281095313,19  ,7    ,9   ,12  ,11    ,1   ,0
45  ,4  ,0.128646656,13  ,3    ,29  ,9   ,6     ,2   ,0
32  ,4  ,0.192680358,17  ,7    ,9   ,9   ,8     ,4   ,0
30  ,4  ,0.090100053,13  ,2    ,2   ,6   ,5     ,3   ,0
41  ,1  ,0.851606108,13  ,7    ,10  ,21  ,7     ,2   ,0
41  ,1  ,0.064718273,21  ,4    ,9   ,7   ,5     ,3   ,0
35  ,2  ,0.331016324,13  ,6    ,1   ,10  ,10    ,3   ,0
53  ,3  ,0.068299105,20  ,5    ,6   ,13  ,7     ,1   ,0
45  ,2  ,0.070510795,18  ,15   ,9   ,20  ,17    ,1   ,0
29  ,3  ,0.174302264,13  ,9    ,1   ,10  ,10    ,3   ,0
51  ,3  ,0.269773565,17  ,0    ,7   ,10  ,1     ,3   ,0
40  ,4  ,0.518483412,11  ,11   ,4   ,15  ,12    ,2   ,0
22  ,4  ,0.069194313,24  ,2    ,19  ,2   ,2     ,3   ,0
27  ,2  ,0.053449184,18  ,2    ,9   ,6   ,2     ,1   ,0
28  ,4  ,0.089731438,11  ,2    ,21  ,5   ,5     ,1   ,0
57  ,4  ,0.443917852,16  ,4    ,24  ,12  ,5     ,1   ,0
27  ,3  ,0.081990521,15  ,1    ,3   ,1   ,1     ,2   ,0
41  ,3  ,0.075934702,12  ,8    ,14  ,13  ,9     ,3   ,0
32  ,3  ,0.106845708,20  ,4    ,6   ,8   ,5     ,3   ,0
27  ,2  ,0.107898894,16  ,1    ,17  ,6   ,5     ,2   ,0
36  ,2  ,0.056819379,12  ,2    ,3   ,13  ,8     ,2   ,0
30  ,1  ,0.108636124,11  ,10   ,9   ,12  ,12    ,3   ,0
33  ,4  ,0.078515008,14  ,2    ,2   ,4   ,3     ,4   ,0
19  ,4  ,0.004897314,22  ,0    ,2   ,1   ,1     ,2   ,1
50  ,3  ,0.141179568,15  ,2    ,1   ,5   ,3     ,2   ,0
55  ,2  ,0.932754081,11  ,15   ,14  ,36  ,24    ,3   ,0
34  ,3  ,0.449605055,17  ,9    ,2   ,10  ,10    ,2   ,0
52  ,3  ,1          ,14  ,9    ,1   ,34  ,33    ,3   ,0
35  ,3  ,0.258399157,13  ,1    ,23  ,8   ,1     ,3   ,1
43  ,4  ,0.056872038,14  ,2    ,7   ,7   ,5     ,4   ,0
45  ,4  ,0.831121643,23  ,8    ,2   ,22  ,20    ,3   ,0
37  ,1  ,0.134544497,12  ,7    ,21  ,8   ,8     ,2   ,0
38  ,3  ,0.291943128,14  ,0    ,2   ,14  ,1     ,3   ,0
38  ,4  ,0.276566614,18  ,7    ,29  ,9   ,7     ,1   ,0
27  ,1  ,0.173196419,19  ,0    ,1   ,6   ,2     ,3   ,0
49  ,4  ,0.305160611,15  ,7    ,18  ,7   ,7     ,3   ,0
34  ,3  ,0.14776198 ,17  ,0    ,10  ,5   ,5     ,4   ,0
40  ,4  ,0.091205898,15  ,7    ,19  ,15  ,7     ,4   ,0
38  ,1  ,0.298262243,19  ,0    ,29  ,17  ,1     ,3   ,1
22  ,2  ,0.069457609,16  ,2    ,5   ,4   ,4     ,2   ,0
40  ,4  ,0.203633491,14  ,2    ,9   ,5   ,3     ,1   ,0
46  ,1  ,0.441653502,16  ,3    ,1   ,17  ,4     ,3   ,0
32  ,4  ,0.494523433,11  ,8    ,4   ,14  ,14    ,2   ,1
30  ,3  ,0.393101632,22  ,8    ,1   ,12  ,11    ,3   ,0
51  ,2  ,0.604581359,16  ,7    ,8   ,16  ,10    ,1   ,0
29  ,3  ,0.0552396  ,14  ,5    ,1   ,7   ,6     ,2   ,1
36  ,2  ,0.258293839,16  ,7    ,5   ,16  ,13    ,4   ,0
37  ,4  ,0.588520274,14  ,7    ,11  ,10  ,10    ,3   ,0
38  ,3  ,0.505529226,12  ,13   ,3   ,17  ,16    ,2   ,0
31  ,3  ,0.175671406,12  ,4    ,1   ,6   ,5     ,3   ,0
59  ,4  ,0.061506056,17  ,0    ,3   ,7   ,1     ,3   ,0
37  ,4  ,0.093944181,17  ,8    ,4   ,13  ,9     ,3   ,0
29  ,4  ,0.072669826,13  ,1    ,18  ,4   ,4     ,2   ,1
42  ,4  ,0.959610321,11  ,15   ,4   ,22  ,22    ,3   ,0
59  ,3  ,0.066245392,17  ,2    ,6   ,7   ,2     ,2   ,0
33  ,4  ,0.075144813,13  ,4    ,14  ,8   ,5     ,1   ,1
52  ,3  ,0.950974197,18  ,12   ,2   ,33  ,33    ,4   ,0
32  ,3  ,0.14328594 ,14  ,2    ,1   ,4   ,3     ,1   ,1
32  ,4  ,0.181990521,18  ,2    ,26  ,4   ,3     ,3   ,0
41  ,1  ,0.108636124,16  ,0    ,19  ,17  ,1     ,2   ,0
40  ,4  ,0.12164297 ,17  ,7    ,24  ,9   ,9     ,3   ,0
45  ,4  ,0.958030542,11  ,7    ,1   ,25  ,24    ,3   ,0
31  ,3  ,0.666982622,12  ,2    ,3   ,9   ,2     ,3   ,0
34  ,1  ,0.260558189,13  ,9    ,2   ,13  ,11    ,3   ,0
45  ,3  ,0.285676672,17  ,2    ,7   ,9   ,3     ,3   ,0
37  ,3  ,0.475987362,11  ,0    ,10  ,17  ,1     ,3   ,1
29  ,4  ,0.070089521,19  ,5    ,15  ,6   ,6     ,3   ,0
29  ,4  ,0.311848341,14  ,2    ,20  ,10  ,3     ,3   ,0
40  ,3  ,0.970352817,19  ,9    ,2   ,22  ,21    ,3   ,0
51  ,4  ,0.090258031,11  ,0    ,1   ,1   ,1     ,2   ,0
31  ,2  ,0.130068457,11  ,4    ,29  ,6   ,5     ,4   ,1
32  ,2  ,0.09399684 ,20  ,3    ,7   ,5   ,5     ,1   ,0
38  ,4  ,0.223275408,18  ,5    ,2   ,13  ,8     ,3   ,0
32  ,1  ,0.061453397,13  ,4    ,2   ,9   ,6     ,3   ,0
28  ,3  ,0.130384413,11  ,0    ,2   ,5   ,0     ,1   ,1
29  ,2  ,0.296735124,19  ,0    ,2   ,10  ,0     ,3   ,0
31  ,4  ,0.240810953,21  ,8    ,23  ,10  ,9     ,3   ,0
25  ,1  ,0.157503949,12  ,5    ,5   ,6   ,6     ,3   ,0
45  ,4  ,0.657556609,14  ,10   ,20  ,21  ,20    ,3   ,0
36  ,4  ,0.115903107,11  ,11   ,6   ,16  ,15    ,3   ,0
55  ,1  ,0.949763033,14  ,13   ,1   ,37  ,36    ,3   ,0
47  ,2  ,0.570826751,12  ,9    ,29  ,10  ,10    ,2   ,1
28  ,4  ,0.055871511,23  ,4    ,9   ,5   ,5     ,2   ,0
37  ,4  ,0.289257504,14  ,1    ,6   ,7   ,5     ,4   ,0
21  ,3  ,0.116956293,17  ,0    ,3   ,3   ,3     ,4   ,0
50  ,2  ,0.954976303,14  ,6    ,4   ,28  ,10    ,2   ,0
53  ,3  ,0.872827804,16  ,3    ,3   ,21  ,5     ,2   ,0
42  ,3  ,0.205265929,25  ,6    ,1   ,20  ,20    ,3   ,0
29  ,4  ,0.186677199,18  ,9    ,2   ,10  ,10    ,2   ,0
55  ,4  ,0.232016851,19  ,8    ,20  ,12  ,10    ,3   ,0
26  ,1  ,0.196524487,13  ,3    ,11  ,5   ,5     ,3   ,0
44  ,3  ,0.113322801,22  ,0    ,24  ,19  ,1     ,1   ,1
38  ,4  ,0.249394418,14  ,2    ,23  ,10  ,2     ,3   ,0
26  ,2  ,0.071827278,13  ,2    ,16  ,5   ,3     ,3   ,1
36  ,2  ,0.183043707,12  ,7    ,3   ,10  ,8     ,3   ,0
26  ,4  ,0.25376514 ,12  ,4    ,4   ,8   ,8     ,3   ,1
37  ,4  ,0.069352291,12  ,2    ,9   ,4   ,4     ,2   ,0
18  ,3  ,0.02164297 ,13  ,0    ,3   ,0   ,0     ,3   ,1
35  ,2  ,0.369194313,15  ,9    ,16  ,12  ,11    ,2   ,0
36  ,4  ,0.14107425 ,18  ,0    ,18  ,4   ,1     ,3   ,0
51  ,2  ,0.235545024,18  ,2    ,2   ,13  ,4     ,3   ,0
41  ,2  ,0.790205371,19  ,4    ,2   ,22  ,22    ,3   ,0
28  ,1  ,0.244971037,19  ,7    ,16  ,9   ,8     ,3   ,0
31  ,4  ,0.311743023,11  ,7    ,7   ,10  ,8     ,2   ,0
39  ,4  ,0.453080569,17  ,7    ,1   ,19  ,18    ,2   ,0
32  ,3  ,0.235650342,14  ,8    ,7   ,13  ,13    ,2   ,0
58  ,3  ,0.244918378,13  ,2    ,1   ,12  ,5     ,3   ,0
31  ,4  ,0.20073723 ,12  ,3    ,5   ,6   ,5     ,3   ,0
31  ,1  ,0.284412849,12  ,0    ,2   ,9   ,2     ,3   ,0
45  ,1  ,0.221221696,18  ,11   ,7   ,24  ,24    ,3   ,0
31  ,4  ,0.08878357 ,18  ,2    ,2   ,3   ,2     ,1   ,0
39  ,1  ,0.845655608,14  ,10   ,10  ,21  ,21    ,3   ,0
52  ,2  ,0.207056345,15  ,7    ,8   ,11  ,8     ,2   ,1
27  ,3  ,0.182675092,11  ,4    ,2   ,5   ,5     ,3   ,0
31  ,4  ,0.344286467,12  ,7    ,7   ,13  ,7     ,3   ,0
28  ,4  ,0.129278568,13  ,2    ,2   ,5   ,3     ,2   ,1
39  ,4  ,0.961716693,15  ,3    ,7   ,21  ,21    ,3   ,0
33  ,4  ,0.193417588,14  ,1    ,10  ,9   ,7     ,2   ,0
47  ,3  ,0.910531859,11  ,1    ,5   ,21  ,3     ,3   ,0
27  ,2  ,0.281200632,13  ,4    ,1   ,6   ,5     ,3   ,0
45  ,4  ,0.141548183,14  ,8    ,8   ,12  ,10    ,3   ,0
40  ,4  ,0.33954713 ,22  ,2    ,1   ,6   ,4     ,2   ,0
29  ,1  ,0.058451817,11  ,7    ,8   ,7   ,7     ,2   ,1
29  ,4  ,0.156608741,17  ,2    ,9   ,4   ,3     ,3   ,0
37  ,4  ,0.281095313,16  ,4    ,5   ,8   ,6     ,2   ,0
38  ,4  ,0.55297525 ,14  ,9    ,15  ,12  ,11    ,3   ,0
35  ,2  ,0.37314376 ,13  ,13   ,5   ,17  ,16    ,3   ,0
23  ,4  ,0.099789363,12  ,2    ,26  ,4   ,4     ,2   ,0
41  ,2  ,0.264507636,15  ,2    ,6   ,8   ,5     ,3   ,0
47  ,3  ,0.103580832,19  ,0    ,4   ,5   ,0     ,3   ,0
29  ,3  ,0.191679831,14  ,2    ,2   ,4   ,4     ,2   ,0
42  ,3  ,0.08883623 ,11  ,0    ,2   ,4   ,3     ,3   ,0
37  ,1  ,0.261453397,13  ,7    ,6   ,13  ,7     ,3   ,0
26  ,3  ,0.225750395,17  ,7    ,1   ,8   ,8     ,3   ,0
42  ,4  ,0.303949447,23  ,0    ,2   ,14  ,1     ,3   ,0
36  ,4  ,0.457609268,11  ,12   ,3   ,16  ,13    ,3   ,0
57  ,3  ,0.302580305,11  ,2    ,1   ,15  ,3     ,3   ,0
21  ,4  ,0.08430753 ,24  ,2    ,9   ,3   ,3     ,2   ,0
41  ,2  ,0.439494471,18  ,7    ,4   ,8   ,8     ,3   ,1
50  ,4  ,0.499578726,15  ,3    ,10  ,20  ,4     ,3   ,0
40  ,3  ,0.28283307 ,12  ,0    ,22  ,8   ,6     ,3   ,1
31  ,2  ,0.086782517,16  ,2    ,9   ,3   ,2     ,3   ,0
29  ,4  ,0.062769879,16  ,2    ,23  ,6   ,3     ,3   ,0
35  ,2  ,0.291258557,19  ,0    ,9   ,10  ,1     ,3   ,0
27  ,2  ,0.147814639,11  ,4    ,1   ,5   ,5     ,3   ,0
28  ,4  ,0.223486045,16  ,7    ,9   ,7   ,7     ,3   ,0
49  ,3  ,0.524275935,24  ,0    ,7   ,26  ,5     ,3   ,0
34  ,4  ,0.226171669,13  ,4    ,19  ,9   ,5     ,2   ,1
30  ,2  ,0.077251185,18  ,0    ,2   ,1   ,1     ,3   ,0
26  ,1  ,0.110215903,22  ,4    ,3   ,7   ,6     ,3   ,1
36  ,3  ,0.346866772,13  ,0    ,2   ,10  ,10    ,3   ,0
30  ,4  ,0.06719326 ,23  ,0    ,4   ,3   ,1     ,3   ,1
37  ,2  ,0.16787783 ,12  ,1    ,10  ,18  ,1     ,2   ,0
43  ,2  ,0.701790416,11  ,9    ,12  ,25  ,25    ,3   ,0
54  ,1  ,0.968773038,11  ,2    ,5   ,24  ,4     ,2   ,0
43  ,4  ,0.065771459,20  ,2    ,21  ,8   ,3     ,3   ,0
31  ,1  ,0.063665087,12  ,2    ,1   ,4   ,4     ,3   ,0
39  ,3  ,0.957767246,14  ,6    ,1   ,21  ,21    ,3   ,0
41  ,1  ,0.38878357 ,16  ,7    ,1   ,10  ,10    ,3   ,0
28  ,1  ,0.186887836,12  ,8    ,17  ,10  ,10    ,3   ,0
25  ,1  ,0.159136388,13  ,2    ,3   ,6   ,2     ,3   ,1
52  ,3  ,0.366508689,14  ,4    ,3   ,28  ,5     ,3   ,0
45  ,4  ,0.086624539,21  ,2    ,10  ,8   ,2     ,2   ,0
38  ,4  ,0.036492891,23  ,0    ,2   ,1   ,1     ,3   ,0
30  ,4  ,0.057293312,15  ,4    ,3   ,9   ,5     ,1   ,0
29  ,3  ,0.57535545 ,18  ,7    ,3   ,10  ,10    ,3   ,0
19  ,4  ,0.081885203,12  ,0    ,2   ,1   ,1     ,4   ,1
57  ,4  ,0.69031069 ,12  ,0    ,29  ,32  ,1     ,2   ,0
50  ,3  ,0.844497104,15  ,7    ,29  ,28  ,27    ,3   ,0
46  ,3  ,0.887414429,13  ,1    ,2   ,26  ,3     ,1   ,0
35  ,3  ,0.169615587,15  ,3    ,22  ,6   ,5     ,3   ,0
34  ,3  ,0.092627699,12  ,7    ,2   ,14  ,7     ,3   ,0
31  ,2  ,0.507582938,25  ,8    ,9   ,13  ,13    ,4   ,0
33  ,3  ,0.663559768,12  ,7    ,15  ,15  ,7     ,4   ,1
33  ,4  ,0.126329647,13  ,3    ,10  ,8   ,4     ,3   ,1
30  ,2  ,0.103949447,14  ,2    ,7   ,4   ,3     ,3   ,0
35  ,3  ,0.348762507,12  ,0    ,16  ,10  ,8     ,3   ,0
31  ,3  ,0.46419168 ,12  ,0    ,20  ,12  ,1     ,3   ,1
42  ,3  ,0.057082675,17  ,0    ,5   ,8   ,2     ,3   ,0
36  ,4  ,0.47240653 ,14  ,7    ,10  ,10  ,10    ,2   ,0
22  ,3  ,0.151922064,16  ,2    ,4   ,4   ,2     ,3   ,1
41  ,4  ,0.274934176,14  ,10   ,10  ,16  ,14    ,3   ,0
35  ,3  ,0.195260664,11  ,9    ,1   ,15  ,11    ,3   ,0
31  ,4  ,0.293470247,13  ,5    ,2   ,10  ,6     ,4   ,0
42  ,1  ,0.336861506,21  ,8    ,24  ,10  ,10    ,2   ,0
45  ,2  ,0.199894681,19  ,7    ,2   ,9   ,8     ,4   ,0
29  ,4  ,0.171300685,12  ,2    ,19  ,8   ,3     ,4   ,0
31  ,4  ,0.555450237,21  ,1    ,7   ,10  ,5     ,2   ,0
18  ,2  ,0.045760927,14  ,0    ,5   ,0   ,0     ,3   ,1
40  ,1  ,0.522538178,15  ,1    ,28  ,20  ,1     ,3   ,0
26  ,3  ,0.173617694,12  ,0    ,29  ,8   ,0     ,3   ,0
34  ,4  ,0.227909426,12  ,7    ,21  ,10  ,10    ,3   ,0
26  ,4  ,0.070089521,18  ,0    ,24  ,1   ,1     ,1   ,1
37  ,2  ,0.412058978,13  ,7    ,9   ,9   ,9     ,3   ,0
52  ,1  ,0.240547657,12  ,9    ,6   ,18  ,10    ,3   ,0
32  ,3  ,0.194734071,12  ,2    ,11  ,6   ,4     ,3   ,1
24  ,4  ,0.073249078,13  ,1    ,24  ,3   ,2     ,3   ,0
49  ,3  ,0.973828331,17  ,9    ,18  ,31  ,31    ,3   ,0
24  ,4  ,0.090363349,11  ,4    ,23  ,6   ,6     ,3   ,0
26  ,2  ,0.277145866,20  ,4    ,28  ,6   ,5     ,4   ,0
24  ,2  ,0.058873091,21  ,0    ,17  ,1   ,1     ,3   ,0
50  ,2  ,0.905265929,11  ,7    ,3   ,32  ,32    ,3   ,0
25  ,3  ,0.057240653,11  ,6    ,13  ,7   ,7     ,3   ,0
30  ,1  ,0.053923117,18  ,0    ,12  ,1   ,1     ,4   ,1
34  ,4  ,0.137598736,13  ,3    ,1   ,6   ,6     ,3   ,0
31  ,1  ,0.169773565,17  ,2    ,13  ,9   ,3     ,1   ,1
35  ,4  ,0.140705635,14  ,2    ,25  ,9   ,3     ,3   ,0
31  ,4  ,0.234386519,22  ,7    ,6   ,13  ,7     ,4   ,0
37  ,3  ,0.452501316,11  ,0    ,2   ,17  ,3     ,2   ,0
43  ,4  ,0.822432859,14  ,0    ,6   ,21  ,1     ,2   ,0
43  ,3  ,0.245918905,13  ,7    ,9   ,10  ,8     ,3   ,0
27  ,1  ,0.107003686,11  ,2    ,2   ,5   ,4     ,3   ,1
21  ,3  ,0.12838336 ,11  ,2    ,22  ,3   ,3     ,3   ,0
44  ,4  ,0.974407583,12  ,1    ,3   ,26  ,2     ,4   ,0
22  ,3  ,0.092890995,20  ,2    ,6   ,3   ,2     ,3   ,0
33  ,3  ,0.320958399,12  ,2    ,8   ,6   ,5     ,3   ,0
34  ,4  ,0.088572933,12  ,8    ,1   ,10  ,10    ,2   ,0
37  ,3  ,0.443654555,15  ,8    ,3   ,10  ,10    ,3   ,0
35  ,4  ,0.296840442,13  ,8    ,6   ,17  ,17    ,3   ,0
33  ,4  ,0.353659821,23  ,7    ,6   ,15  ,13    ,1   ,0
54  ,2  ,0.511637704,15  ,1    ,19  ,16  ,9     ,4   ,0
36  ,2  ,0.412743549,11  ,2    ,9   ,13  ,3     ,3   ,0
27  ,4  ,0.054555029,13  ,1    ,3   ,5   ,4     ,3   ,0
20  ,3  ,0          ,11  ,1    ,10  ,1   ,1     ,3   ,1
33  ,1  ,0.12317009 ,11  ,7    ,3   ,10  ,10    ,3   ,1
35  ,3  ,0.014323328,18  ,0    ,3   ,1   ,1     ,3   ,0
23  ,1  ,0.095313323,16  ,2    ,4   ,5   ,3     ,4   ,0
25  ,2  ,0.202317009,22  ,2    ,8   ,4   ,3     ,3   ,0
29  ,4  ,0.090100053,18  ,8    ,1   ,10  ,10    ,3   ,0
48  ,2  ,0.374460242,12  ,2    ,2   ,12  ,2     ,3   ,0
37  ,4  ,0.19331227 ,17  ,0    ,10  ,4   ,1     ,3   ,0
50  ,3  ,0.116482359,11  ,8    ,28  ,20  ,20    ,3   ,0
32  ,4  ,0.231016324,12  ,8    ,10  ,10  ,10    ,2   ,0
50  ,3  ,0.304739336,14  ,3    ,8   ,18  ,4     ,3   ,1
47  ,1  ,0.208056872,12  ,7    ,14  ,20  ,7     ,3   ,0
40  ,1  ,0.49847288 ,21  ,12   ,5   ,20  ,18    ,3   ,0
53  ,3  ,0.726961559,19  ,3    ,7   ,32  ,5     ,3   ,0
41  ,4  ,0.954818325,15  ,6    ,10  ,23  ,21    ,2   ,0
60  ,1  ,0.231490258,14  ,2    ,16  ,10  ,2     ,3   ,0
27  ,1  ,0.409899947,21  ,7    ,10  ,9   ,9     ,2   ,0
41  ,3  ,0.957345972,12  ,10   ,1   ,22  ,22    ,3   ,0
50  ,2  ,0.150921538,15  ,2    ,8   ,4   ,2     ,3   ,0
44  ,3  ,0.142127435,14  ,4    ,24  ,9   ,5     ,3   ,0
30  ,4  ,0.226171669,23  ,7    ,27  ,10  ,8     ,2   ,0
29  ,3  ,0.085992628,11  ,0    ,10  ,1   ,1     ,3   ,0
42  ,3  ,0.092153765,12  ,2    ,19  ,7   ,2     ,3   ,1
43  ,4  ,0.305160611,18  ,2    ,15  ,7   ,2     ,3   ,0
23  ,1  ,0.078515008,14  ,2    ,9   ,5   ,4     ,4   ,0
56  ,4  ,0.531542917,11  ,1    ,9   ,30  ,10    ,2   ,0
29  ,2  ,0.067825171,14  ,2    ,10  ,2   ,2     ,3   ,0
53  ,4  ,0.075882043,17  ,2    ,6   ,19  ,2     ,3   ,0
32  ,4  ,0.226434966,15  ,7    ,24  ,10  ,10    ,3   ,0
38  ,3  ,0.107846235,13  ,1    ,2   ,6   ,1     ,1   ,0
52  ,1  ,0.834491838,11  ,16   ,3   ,34  ,34    ,4   ,0
33  ,4  ,0.088309637,13  ,8    ,1   ,10  ,10    ,2   ,1
45  ,3  ,0.296103212,13  ,1    ,2   ,9   ,8     ,3   ,0
23  ,3  ,0.131437599,18  ,2    ,10  ,2   ,2     ,3   ,0
34  ,4  ,0.277251185,22  ,4    ,2   ,6   ,6     ,3   ,0
55  ,1  ,0.992627699,13  ,4    ,2   ,24  ,5     ,3   ,1
36  ,1  ,0.346392838,15  ,9    ,8   ,10  ,10    ,3   ,0
52  ,4  ,0.171090047,18  ,2    ,19  ,5   ,4     ,3   ,0
26  ,1  ,0.227330174,17  ,2    ,8   ,6   ,4     ,2   ,1
