Rank     ,Discipline,yrs.since.phd,yrs.service,Gender,Salary
AsstProf ,A         ,5            ,3          ,Female,73500.00
Prof     ,A         ,14           ,14         ,Male  ,115313.00
Prof     ,A         ,32           ,32         ,Male  ,124309.00
Prof     ,A         ,24           ,22         ,Male  ,97262.00
AssocProf,A         ,25           ,22         ,Female,62884.00
Prof     ,A         ,24           ,22         ,Male  ,96614.00
Prof     ,A         ,54           ,49         ,Male  ,78162.00
Prof     ,A         ,28           ,26         ,Male  ,155500.00
AsstProf ,A         ,2            ,0          ,Female,72500.00
Prof     ,A         ,32           ,30         ,Male  ,113278.00
AsstProf ,A         ,4            ,2          ,Male  ,73000.00
AssocProf,A         ,11           ,9          ,Male  ,83001.00
Prof     ,A         ,56           ,57         ,Male  ,76840.00
AssocProf,A         ,10           ,8          ,Female,77500.00
AsstProf ,A         ,3            ,1          ,Female,72500.00
Prof     ,A         ,35           ,25         ,Male  ,168635.00
Prof     ,A         ,20           ,18         ,Male  ,136000.00
Prof     ,A         ,16           ,14         ,Male  ,108262.00
Prof     ,A         ,17           ,14         ,Male  ,105668.00
AssocProf,A         ,10           ,7          ,Male  ,73877.00
Prof     ,A         ,21           ,18         ,Male  ,152664.00
AssocProf,A         ,14           ,8          ,Male  ,100102.00
AssocProf,A         ,15           ,10         ,Male  ,81500.00
Prof     ,A         ,19           ,11         ,Male  ,106608.00
AsstProf ,B         ,3            ,3          ,Male  ,89942.00
Prof     ,B         ,27           ,27         ,Male  ,112696.00
Prof     ,B         ,28           ,28         ,Male  ,119015.00
AsstProf ,B         ,4            ,4          ,Male  ,92000.00
Prof     ,B         ,27           ,27         ,Male  ,156938.00
Prof     ,B         ,36           ,26         ,Female,144651.00
AsstProf ,B         ,4            ,3          ,Male  ,95079.00
Prof     ,B         ,14           ,12         ,Male  ,128148.00
AsstProf ,B         ,4            ,4          ,Male  ,92000.00
Prof     ,B         ,21           ,9          ,Male  ,111168.00
AssocProf,B         ,12           ,10         ,Female,103994.00
AsstProf ,B         ,4            ,0          ,Male  ,92000.00
Prof     ,B         ,21           ,21         ,Male  ,118971.00
AssocProf,B         ,12           ,18         ,Male  ,113341.00
AsstProf ,B         ,1            ,0          ,Male  ,88000.00
AssocProf,B         ,6            ,6          ,Male  ,95408.00
Prof     ,B         ,15           ,16         ,Male  ,137167.00
AsstProf ,B         ,2            ,2          ,Male  ,89516.00
Prof     ,B         ,26           ,19         ,Male  ,176500.00
AssocProf,B         ,22           ,7          ,Male  ,98510.00
AsstProf ,B         ,3            ,3          ,Male  ,89942.00
AsstProf ,B         ,1            ,0          ,Male  ,88795.00
Prof     ,B         ,21           ,8          ,Male  ,105890.00
Prof     ,B         ,16           ,16         ,Male  ,167284.00
Prof     ,B         ,18           ,19         ,Male  ,130664.00
AssocProf,B         ,8            ,6          ,Male  ,101210.00
Prof     ,B         ,25           ,18         ,Male  ,181257.00
AsstProf ,B         ,5            ,5          ,Male  ,91227.00
Prof     ,B         ,19           ,19         ,Male  ,151575.00
Prof     ,B         ,37           ,24         ,Male  ,93164.00
Prof     ,B         ,20           ,20         ,Male  ,134185.00
AssocProf,B         ,17           ,6          ,Male  ,105000.00
Prof     ,B         ,28           ,25         ,Male  ,111751.00
AssocProf,B         ,10           ,7          ,Male  ,95436.00
AssocProf,B         ,13           ,9          ,Male  ,100944.00
Prof     ,B         ,27           ,14         ,Male  ,147349.00
AsstProf ,B         ,3            ,3          ,Female,92000.00
Prof     ,B         ,11           ,11         ,Male  ,142467.00
Prof     ,B         ,18           ,5          ,Male  ,141136.00
AssocProf,B         ,8            ,8          ,Male  ,100000.00
Prof     ,B         ,26           ,22         ,Male  ,150000.00
Prof     ,B         ,23           ,23         ,Male  ,101000.00
Prof     ,B         ,33           ,30         ,Male  ,134000.00
AssocProf,B         ,13           ,10         ,Female,103750.00
Prof     ,B         ,18           ,10         ,Male  ,107500.00
AssocProf,B         ,28           ,28         ,Male  ,106300.00
Prof     ,B         ,25           ,19         ,Male  ,153750.00
Prof     ,B         ,22           ,9          ,Male  ,180000.00
Prof     ,B         ,43           ,22         ,Male  ,133700.00
Prof     ,B         ,19           ,18         ,Male  ,122100.00
AssocProf,B         ,19           ,19         ,Male  ,86250.00
AssocProf,B         ,48           ,53         ,Male  ,90000.00
AssocProf,B         ,9            ,7          ,Male  ,113600.00
AsstProf ,B         ,4            ,4          ,Male  ,92700.00
AsstProf ,B         ,4            ,4          ,Male  ,92000.00
Prof     ,B         ,34           ,33         ,Male  ,189409.00
Prof     ,B         ,38           ,22         ,Male  ,114500.00
AsstProf ,B         ,4            ,4          ,Male  ,92700.00
Prof     ,B         ,40           ,40         ,Male  ,119700.00
Prof     ,B         ,28           ,17         ,Male  ,160400.00
Prof     ,B         ,17           ,17         ,Male  ,152500.00
Prof     ,B         ,19           ,5          ,Male  ,165000.00
Prof     ,B         ,21           ,2          ,Male  ,96545.00
Prof     ,B         ,35           ,33         ,Male  ,162200.00
Prof     ,B         ,18           ,18         ,Male  ,120000.00
AsstProf ,B         ,7            ,2          ,Male  ,91300.00
Prof     ,B         ,20           ,20         ,Male  ,163200.00
AsstProf ,B         ,4            ,3          ,Male  ,91000.00
Prof     ,B         ,39           ,39         ,Male  ,111350.00
Prof     ,B         ,15           ,7          ,Male  ,128400.00
Prof     ,B         ,26           ,19         ,Male  ,126200.00
AssocProf,B         ,11           ,1          ,Male  ,118700.00
Prof     ,B         ,16           ,11         ,Male  ,145350.00
Prof     ,B         ,15           ,11         ,Male  ,146000.00
AssocProf,B         ,29           ,22         ,Male  ,105350.00
AssocProf,B         ,14           ,7          ,Female,109650.00
Prof     ,B         ,13           ,11         ,Male  ,119500.00
Prof     ,B         ,21           ,21         ,Male  ,170000.00
Prof     ,B         ,23           ,10         ,Male  ,145200.00
AssocProf,B         ,13           ,6          ,Male  ,107150.00
Prof     ,B         ,34           ,20         ,Male  ,129600.00
Prof     ,A         ,38           ,35         ,Male  ,87800.00
Prof     ,A         ,20           ,20         ,Male  ,122400.00
AsstProf ,A         ,3            ,1          ,Male  ,63900.00
AssocProf,A         ,9            ,7          ,Male  ,70000.00
Prof     ,A         ,16           ,11         ,Male  ,88175.00
Prof     ,A         ,39           ,38         ,Male  ,133900.00
Prof     ,A         ,29           ,27         ,Female,91000.00
AssocProf,A         ,26           ,24         ,Female,73300.00
Prof     ,A         ,38           ,19         ,Male  ,148750.00
Prof     ,A         ,36           ,19         ,Female,117555.00
AsstProf ,A         ,8            ,3          ,Male  ,69700.00
Prof     ,A         ,28           ,17         ,Male  ,81700.00
Prof     ,A         ,25           ,25         ,Male  ,114000.00
AsstProf ,A         ,7            ,6          ,Female,63100.00
Prof     ,A         ,46           ,40         ,Male  ,77202.00
Prof     ,A         ,19           ,6          ,Male  ,96200.00
AsstProf ,A         ,5            ,3          ,Male  ,69200.00
Prof     ,A         ,31           ,30         ,Male  ,122875.00
Prof     ,A         ,38           ,37         ,Male  ,102600.00
Prof     ,A         ,23           ,23         ,Male  ,108200.00
Prof     ,A         ,19           ,23         ,Male  ,84273.00
Prof     ,A         ,17           ,11         ,Female,90450.00
Prof     ,A         ,30           ,23         ,Male  ,91100.00
Prof     ,A         ,21           ,18         ,Male  ,101100.00
Prof     ,A         ,28           ,23         ,Male  ,128800.00
Prof     ,A         ,29           ,7          ,Male  ,204000.00
Prof     ,A         ,39           ,39         ,Male  ,109000.00
Prof     ,A         ,20           ,8          ,Male  ,102000.00
Prof     ,A         ,31           ,12         ,Male  ,132000.00
AsstProf ,A         ,4            ,2          ,Female,77500.00
Prof     ,A         ,28           ,7          ,Female,116450.00
AssocProf,A         ,12           ,8          ,Male  ,83000.00
Prof     ,A         ,22           ,22         ,Male  ,140300.00
AssocProf,A         ,30           ,23         ,Male  ,74000.00
AsstProf ,A         ,9            ,3          ,Male  ,73800.00
Prof     ,A         ,32           ,30         ,Male  ,92550.00
AssocProf,A         ,41           ,33         ,Male  ,88600.00
Prof     ,A         ,45           ,45         ,Male  ,107550.00
Prof     ,A         ,31           ,26         ,Male  ,121200.00
Prof     ,A         ,31           ,31         ,Male  ,126000.00
Prof     ,A         ,37           ,35         ,Male  ,99000.00
Prof     ,A         ,36           ,30         ,Male  ,134800.00
Prof     ,A         ,43           ,43         ,Male  ,143940.00
Prof     ,A         ,14           ,10         ,Male  ,104350.00
Prof     ,A         ,47           ,44         ,Male  ,89650.00
Prof     ,A         ,13           ,7          ,Male  ,103700.00
Prof     ,A         ,42           ,40         ,Male  ,143250.00
Prof     ,A         ,42           ,18         ,Male  ,194800.00
AsstProf ,A         ,4            ,1          ,Male  ,73000.00
AsstProf ,A         ,8            ,4          ,Male  ,74000.00
AsstProf ,A         ,8            ,3          ,Female,78500.00
Prof     ,A         ,12           ,6          ,Male  ,93000.00
Prof     ,A         ,52           ,48         ,Male  ,107200.00
Prof     ,A         ,31           ,27         ,Male  ,163200.00
Prof     ,A         ,24           ,18         ,Male  ,107100.00
Prof     ,A         ,46           ,46         ,Male  ,100600.00
Prof     ,A         ,39           ,38         ,Male  ,136500.00
Prof     ,A         ,37           ,27         ,Male  ,103600.00
Prof     ,A         ,51           ,51         ,Male  ,57800.00
Prof     ,A         ,45           ,43         ,Male  ,155865.00
AssocProf,A         ,8            ,6          ,Male  ,88650.00
AssocProf,A         ,49           ,49         ,Male  ,81800.00
Prof     ,A         ,28           ,27         ,Male  ,115800.00
AsstProf ,A         ,2            ,0          ,Male  ,85000.00
Prof     ,A         ,29           ,27         ,Male  ,150500.00
AsstProf ,A         ,8            ,5          ,Male  ,74000.00
Prof     ,A         ,33           ,7          ,Male  ,174500.00
Prof     ,A         ,32           ,28         ,Male  ,168500.00
Prof     ,A         ,39           ,9          ,Male  ,183800.00
AssocProf,A         ,11           ,1          ,Male  ,104800.00
Prof     ,A         ,19           ,7          ,Male  ,107300.00
Prof     ,A         ,40           ,36         ,Male  ,97150.00
Prof     ,A         ,18           ,18         ,Male  ,126300.00
Prof     ,A         ,17           ,11         ,Male  ,148800.00
Prof     ,A         ,49           ,43         ,Male  ,72300.00
AssocProf,A         ,45           ,39         ,Male  ,70700.00
Prof     ,A         ,39           ,36         ,Male  ,88600.00
Prof     ,A         ,27           ,16         ,Male  ,127100.00
Prof     ,A         ,28           ,13         ,Male  ,170500.00
Prof     ,A         ,14           ,4          ,Male  ,105260.00
Prof     ,A         ,46           ,44         ,Male  ,144050.00
Prof     ,A         ,33           ,31         ,Male  ,111350.00
AsstProf ,A         ,7            ,4          ,Male  ,74500.00
Prof     ,A         ,31           ,28         ,Male  ,122500.00
AsstProf ,A         ,5            ,0          ,Male  ,74000.00
Prof     ,A         ,22           ,15         ,Male  ,166800.00
Prof     ,A         ,20           ,7          ,Male  ,92050.00
Prof     ,A         ,14           ,9          ,Male  ,108100.00
Prof     ,A         ,29           ,19         ,Male  ,94350.00
Prof     ,A         ,35           ,35         ,Male  ,100351.00
Prof     ,A         ,22           ,6          ,Male  ,146800.00
AsstProf ,B         ,6            ,3          ,Male  ,84716.00
AssocProf,B         ,12           ,9          ,Female,71065.00
Prof     ,B         ,46           ,45         ,Male  ,67559.00
Prof     ,B         ,16           ,16         ,Male  ,134550.00
Prof     ,B         ,16           ,15         ,Male  ,135027.00
Prof     ,B         ,24           ,23         ,Male  ,104428.00
AssocProf,B         ,9            ,9          ,Male  ,95642.00
AssocProf,B         ,13           ,11         ,Male  ,126431.00
Prof     ,B         ,24           ,15         ,Female,161101.00
Prof     ,B         ,30           ,31         ,Male  ,162221.00
AsstProf ,B         ,8            ,4          ,Male  ,84500.00
Prof     ,B         ,23           ,15         ,Male  ,124714.00
Prof     ,B         ,37           ,37         ,Male  ,151650.00
AssocProf,B         ,10           ,10         ,Male  ,99247.00
Prof     ,B         ,23           ,23         ,Male  ,134778.00
Prof     ,B         ,49           ,60         ,Male  ,192253.00
Prof     ,B         ,20           ,9          ,Male  ,116518.00
Prof     ,B         ,18           ,10         ,Female,105450.00
Prof     ,B         ,33           ,19         ,Male  ,145098.00
AssocProf,B         ,19           ,6          ,Female,104542.00
Prof     ,B         ,36           ,38         ,Male  ,151445.00
Prof     ,B         ,35           ,23         ,Male  ,98053.00
Prof     ,B         ,13           ,12         ,Male  ,145000.00
Prof     ,B         ,32           ,25         ,Male  ,128464.00
Prof     ,B         ,37           ,15         ,Male  ,137317.00
Prof     ,B         ,13           ,11         ,Male  ,106231.00
Prof     ,B         ,17           ,17         ,Female,124312.00
Prof     ,B         ,38           ,38         ,Male  ,114596.00
Prof     ,B         ,31           ,31         ,Male  ,162150.00
Prof     ,B         ,32           ,35         ,Male  ,150376.00
Prof     ,B         ,15           ,10         ,Male  ,107986.00
Prof     ,B         ,41           ,27         ,Male  ,142023.00
Prof     ,B         ,39           ,33         ,Male  ,128250.00
AsstProf ,B         ,4            ,3          ,Male  ,80139.00
Prof     ,B         ,27           ,28         ,Male  ,144309.00
Prof     ,B         ,56           ,49         ,Male  ,186960.00
Prof     ,B         ,38           ,38         ,Male  ,93519.00
Prof     ,B         ,26           ,27         ,Male  ,142500.00
Prof     ,B         ,22           ,20         ,Male  ,138000.00
AsstProf ,B         ,8            ,1          ,Male  ,83600.00
Prof     ,B         ,25           ,21         ,Male  ,145028.00
Prof     ,A         ,49           ,40         ,Male  ,88709.00
Prof     ,A         ,39           ,35         ,Male  ,107309.00
Prof     ,A         ,28           ,14         ,Female,109954.00
AsstProf ,A         ,11           ,4          ,Male  ,78785.00
Prof     ,A         ,14           ,11         ,Male  ,121946.00
Prof     ,A         ,23           ,15         ,Female,109646.00
Prof     ,A         ,30           ,30         ,Male  ,138771.00
AssocProf,A         ,20           ,17         ,Male  ,81285.00
Prof     ,A         ,43           ,43         ,Male  ,205500.00
Prof     ,A         ,43           ,40         ,Male  ,101036.00
Prof     ,A         ,15           ,10         ,Male  ,115435.00
AssocProf,A         ,10           ,1          ,Male  ,108413.00
Prof     ,A         ,35           ,30         ,Male  ,131950.00
Prof     ,A         ,33           ,31         ,Male  ,134690.00
AssocProf,A         ,13           ,8          ,Male  ,78182?
Prof     ,A         ,23           ,20         ,Male  ,110515.00
Prof     ,A         ,12           ,7          ,Male  ,109707.00
Prof     ,A         ,30           ,26         ,Male  ,136660.00
Prof     ,A         ,27           ,19         ,Male  ,103275.00
Prof     ,A         ,28           ,26         ,Male  ,103649.00
AsstProf ,A         ,4            ,1          ,Male  ,74856.00
AsstProf ,A         ,6            ,3          ,Male  ,77081.00
Prof     ,A         ,38           ,38         ,Male  ,150680.00
AssocProf,A         ,11           ,8          ,Male  ,104121.00
AsstProf ,A         ,8            ,3          ,Male  ,75996.00
Prof     ,A         ,27           ,23         ,Male  ,172505.00
AssocProf,A         ,8            ,5          ,Male  ,86895.00
Prof     ,A         ,44           ,44         ,Male  ,105000.00
Prof     ,A         ,27           ,21         ,Male  ,125192.00
Prof     ,A         ,15           ,9          ,Male  ,114330.00
Prof     ,A         ,29           ,27         ,Male  ,139219.00
Prof     ,A         ,29           ,15         ,Male  ,109305.00
Prof     ,A         ,38           ,36         ,Male  ,119450.00
Prof     ,A         ,33           ,18         ,Male  ,186023.00
Prof     ,A         ,40           ,19         ,Male  ,166605.00
Prof     ,A         ,30           ,19         ,Male  ,151292.00
Prof     ,A         ,33           ,30         ,Male  ,103106.00
Prof     ,A         ,31           ,19         ,Male  ,150564.00
Prof     ,A         ,42           ,25         ,Male  ,101738.00
Prof     ,A         ,25           ,15         ,Male  ,95329.00
AsstProf ,A         ,8            ,4          ,Male  ,81035.00
